numobs,length,size,bcovfaulty,bcovfixed,lcovfaulty,lcovfixed,numremoved,fixedcov,Class
2345.6,687.6,65,0.337226,0.337226,0.375676,0.375676,0,0.318978,no
3290.3,1637.5,105.7,0.488855,0.486726,0.546793,0.542007,0.1,0.501961,no
1922.2,507,66.5,0.582819,0.581718,0.716387,0.71644,0,0.629791,no
5859.8,1006.7,84.9,0.350046,0.350324,0.460655,0.460964,0.4,0.333768,low
1085.8,243.2,64.8,0.793204,0.801456,0.791519,0.794445,0,0.753778,low
203.9,36.5,11,0.556363,0.611905,0.422472,0.480303,0.4,0.504658,high
929.5,257.7,62.1,0.944594,0.944594,0.962585,0.962585,0,0.942008,no
1417.6,147.7,48.8,0.791566,0.791566,0.879221,0.879221,0,0.826607,low
1532.4,268.9,66.4,0.570722,0.568098,0.663406,0.663406,0,0.624113,no
16,4,2,0.9,0.85,0.9,0.85,0,0.875,high
1399,177.7,53.1,0.760887,0.763306,0.882984,0.884293,0,0.874197,high
649,189,24.3,0.50625,0.508854,0.587748,0.592433,0,0.547903,low
783.3,49,15.2,0.415574,0.415574,0.462727,0.462727,0,0.424209,no
9040.7,2354.7,191.5,0.376219,0.376243,0.473489,0.472755,0.4,0.40546,high
2955.9,859.3,77.8,0.381508,0.385842,0.445692,0.455044,0.3,0.399122,high
1220.5,1472,68.9,0.667883,0.667153,0.723077,0.722527,0,0.636531,high
1528.6,264.8,65,0.545134,0.543789,0.642615,0.641486,0,0.59647,high
1456,303.9,99.8,0.798468,0.792357,0.889809,0.887359,0,0.817843,high
3841.8,1191.7,101.1,0.443421,0.443213,0.550083,0.550005,0.2,0.458086,low
82,41.8,11.1,0.923077,0.923077,0.947368,0.947368,0,0.95122,no
1242.6,172.6,63.2,0.36,0.317171,0.5692,0.525,0,0.381303,no
749,126.3,42.7,0.697836,0.662069,0.813846,0.784028,0,0.736449,high
748.7,68.6,19.1,0.353267,0.352055,0.377536,0.377397,0.1,0.419381,no
156,38.1,17.1,0.988889,0.986667,0.984058,0.978261,0,0.969872,high
719.4,99.6,9.9,0.123273,0.113918,0.151718,0.141944,0,0.180785,no
1440.4,501.9,54.5,0.43692,0.434109,0.496671,0.495807,0.1,0.471538,no
1464.7,28.5,5.4,0.0497309,0.0495177,0.117878,0.117428,0.3,0.0737158,no
3344.1,49.3,4.3,0.00428272,0.00427756,0.02393,0.0238829,0,0.0139345,no
619.8,21.7,5.8,0.0368098,0.0359281,0.0526316,0.0519481,0,0.0596962,no
701.1,195.9,18.3,0.402062,0.402062,0.605932,0.605932,0.1,0.559401,no
558.9,5.8,1.2,0.0190982,0.0188976,0.0317427,0.0314814,0,0.0216429,no
1248.2,36,4.4,0.0218659,0.0229358,0.0716069,0.0725119,0,0.0498295,no
938.6,493.4,34.6,0.356173,0.356173,0.398379,0.396296,1.3,0.435652,low
353.2,9.7,2.8,0.105028,0.101587,0.173338,0.171795,0.1,0.117482,no
424.8,79.8,16.9,0.603846,0.603846,0.628516,0.631395,0.2,0.575303,no
10946.6,608.6,121.6,0.283303,0.283303,0.279564,0.279379,0.1,0.233816,no
3236.1,81.2,6.6,0.0359141,0.0360078,0.0334244,0.0334975,0.1,0.0381048,no
361,9.9,4,0.095,0.092683,0.0955102,0.0917645,0,0.0831025,no
334,99.9,8.3,0.694,0.694,0.8375,0.8375,0,0.784132,no
2858.9,166.7,25.8,0.222222,0.222222,0.2056,0.2056,0,0.181324,no
579.1,24.3,6,0.0403769,0.04,0.0494352,0.048951,0,0.0649282,no
762.1,27.4,5.1,0.148936,0.148936,0.213084,0.209945,0,0.156015,no
3128.3,83.9,7.8,0.0397099,0.0395664,0.0859374,0.085694,0.1,0.0552886,no
4577.6,648.3,86.6,0.347239,0.348057,0.411894,0.411894,0.3,0.272108,no
936.6,435,32.2,0.35625,0.358025,0.398323,0.395833,0.5,0.416091,no
2967.67,131.667,17.1111,0.0578287,0.0574526,0.02526,0.02526,0,0.0836794,no
292.6,79.6,10,0.417318,0.531111,0.521495,0.55,0,0.461315,no
292.4,85.3,9.5,0.29803,0.43,0.434685,0.491406,0.2,0.448894,low
3636,30.5,3.9,0.112626,0.112488,0.0189603,0.0189025,0,0.0969472,no
651.8,28.2,4.8,0.169014,0.165289,0.236486,0.236486,0,0.164466,no
2526.8,11.1,3,0.00304723,0.00305344,0.00484809,0.00485437,0.1,0.00783587,no
414.1,163.7,17.5,0.598667,0.584615,0.62672,0.607059,0,0.546709,high
12588.6,662.8,146,0.656851,0.656085,0.724533,0.726727,0,0.323428,low
105.3,4.3,3,0.520588,0.5,0.549786,0.528,0,0.515515,low
550.8,10.7,1.8,0.0252101,0.024,0.0392157,0.0375,0,0.0286837,no
1385.1,37.9,10.9,0.0431677,0.0429013,0.0611684,0.0591216,0,0.0505378,low
4470.6,725.8,92.2,0.375086,0.375875,0.457579,0.457579,0.3,0.30222,no
3528.1,203.4,20.5,0.155521,0.154244,0.168783,0.167684,3.3,0.203168,no
1588.4,478.1,37,0.496173,0.495432,0.630099,0.628713,0.7,0.402789,low
4299,88.5,40.8,0.0815907,0.0803691,0.127001,0.125759,0,0.129425,no
2589,13.1,3.3,0.00282879,0.00285714,0.0062264,0.00629772,0.2,0.00822712,no
1138.7,25.3,3.7,0.0453716,0.0451362,0.0554914,0.0551724,0.1,0.0338972,no
4202.9,437.9,42.6,0.3419,0.341252,0.269126,0.268324,0.8,0.190868,no
701,7.4,7.4,0.103846,0.102273,0.0185185,0.0185185,0,0.0998573,no
1530.4,612.1,48.5,NA,NA,NA,NA,0,0.467662,no
2567,31.4,6.5,0.169122,0.169557,0.214012,0.21424,0,0.180953,no
1306.9,115.3,20,0.170232,0.170833,0.252976,0.253169,0,0.177892,no
2775.3,34.7,4.4,0.0444757,0.0444248,0.119602,0.119157,0.9,0.105142,no
